Address,Shelter Number,Protection Level,Area,Capacity,Operator
1 Amatsiya St.,694,Highest,200,160,"Emergency and Security Division, Jerusalem Municipality"
2 Amatsiya St.,695,,250,200,Chabad synagogue
16 Shlomo Musayof St.,614,Highest,40,32,"""Hesdei Yehezkel VeMiriam"" volunteer center"
8 Hoshe'a St.,621,,100,80,"Emergency and Security Division, Jerusalem Municipality"
14 Zechariah HaRofeh St.,623,Highest,40,32,"MeTeiman Yavo"" yeshiva"
15 Avodat Yisrael St.,635,,,32,"Emergency and Security Division, Jerusalem Municipality"
18 Nahman MiBreslev St.,637,,100,80,"Emergency and Security Division, Jerusalem Municipality"
25 Tsfanya St.,830,,100,80,Bucharim Community Administration
7 HaZayit St.,904,,125,100,"Sanitation Division, Jerusalem Municipality"
52 David Shimoni St.,715,,180,144,"Emergency and Security Division, Jerusalem Municipality"
33 HaTayasim St.,949,,100,80,Ginot Ha'Ir Community Administration
27 Yisrael Najara St.,808,,100,80,Meitarim Community Administration
